text;catgy
si fijan casi no temblado chile , energia situada lado pacifico , llegaran;2
MENTION japon si , no creo vaya alla;2
MENTION si , refiero hecho silencio sismico aqui lleva mas cien anos , preparados;2
grabado editado until dawn , aunque dura NUMBER minutos no si demasiado canal d: veriais NUMBER min ?;2
MENTION veo gustan videos seran NUMBER min entretenimiento igual acostumbrados;3
MENTION vanegas despues comes enteros NUMBER minutos vegettita SMILEY;1
MENTION oremos hermanos HASHTAG terremoto NUMBER mas NUMBER bajas;2,4
MENTION oremos bendiciones;4
MENTION hola ! * amigos manera dios cuida . abrazo;4
MENTION cuida gracias amigos , buena noche miha saludos;4
MENTION ninguno acuerdo miha , descansar buena noche;3
desborde arroyo rocha uruguay fotos MENTION URL;2
MENTION dios quiera pase vuelva normalidad !;4
MENTION increible q pasando todas partes;4
escuchando aprendiendo URL;2
MENTION siga luna , borracho drogado tranquilo alla tambien trasmilenio potrero urbanizacion;1
MENTION tranquilo mijo ! no tan bruto , si trasmilenio asi mal , no sera falta inversion NUMBER anos ?;1
fuerte terremoto NUMBER , 5 magnitud HASHTAG . URL;2
MENTION asi viendo , quito no danos estructura manta muchas casas vinieron abajo;2
HASHTAG : sismo magnitud NUMBER , 4 sacude HASHTAG URL;2
. MENTION bien . pais aun shock . catastrofe .;2,3
MENTION no puede imaginar q ... no sufrido ... vivido post ...;4
MENTION gracias amali solidaridad . conmocionados desastre zonas mas debiles .;4
MENTION sabe , catastrofes ... pobres mas perjudicados ... leo !;4
"MENTION creo q exagerado "" verguenza ... ecuador """;3
MENTION bueno tiempo criticar;1
MENTION importante q no victimas , luz telefonos , q bien;2,4
hola MENTION puedes comunicarte medio servicio gratuito sms . MENTION;3
hola MENTION si necesitas comunicarte , puedes enviar sms gratuitos servicio MENTION;3
hola MENTION recuerda puedes comunicarte medio servicio sms gratuito . MENTION;3
MENTION llegue acasa dijeron k temblando norte;2,3
MENTION guayaquil centro comercial URL;2
MENTION buenos dias , si pude grabar mientras encontraba centro comercial .;2
servicio geologico HASHTAG dice HASHTAG HASHTAG NUMBER , 4 grados . URL;2
MENTION HASHTAG;3
MENTION asi ascienden NUMBER fallecidos ecuador .;2
usgs fija terremoto ecuador NUMBER , 8 detalles URL;2
activan alerta tsunami costas ecuador tras fuerte terremoto NUMBER , 8 URL;2
MENTION quedo MENTION;2
MENTION si , no voy esquina;4
MENTION manana aguantala brithany psicotica;3
MENTION tsunami briti;1
terremoto NUMBER , 4 richter afecto noche ecuador , advierten riesgo tsunami region ... noticia desarrollo;2
MENTION epicentro seria ciudad costera esmeralda , grave produjo solo NUMBER km profundidad;2
MENTION lamentable;4
ahora si asuste ... HASHTAG URL;2
MENTION sustooo . fuertee;4
MENTION corriendo pa'bajo MENTION preocupada tv . queria llevar calle salvo MENTION;2
MENTION chaamooo q feeooo . hoy veo imagenes pelua cosa . pense q no habia mas temblor fuerte;4
MENTION si fuerte . zonas mas afectadas costeras , cercania epicentro imagino estructuras menos preparadas :/;2
MENTION big earthquake took place in japanbecause it is far , i am safe;2
univeso decide mandarte terremoto medio livestream;2
MENTION no temblor ?;2
MENTION NUMBER , 8 considerado terremoto;2
MENTION universo conspira livestream .;2
MENTION bien , quede internet NUMBER minutos , igual horrible;3
MENTION vivo zona asismica SMILEY;3
MENTION pais contagio pais;3
MENTION aburrido;3
MENTION no sufro terremotos puede llegar tsunami hundir zona SMILEY;2
MENTION debe ser aburrido nunca sentir temblor ( ? );3
MENTION solo vivi durmiendo provincia ( viaje ) .;3
MENTION vivi ahi crees terremoto SMILEY URL;3
MENTION mas pequena siempre escuchaba gente decir habia temblado nunca sentia , +;3
MENTION - queria sentir temblor asi terremoto aqui feliz ( ? );4
MENTION no quiero reir desgracia humana jajajajajaja mas jajajajaja vez jajajajajaja saludos !;1
MENTION nooo , no vi , deja busco;3
MENTION periodista ninci . x sino conoces antik;3
MENTION buscando saber jajaja;3
fuerte HASHTAG ecuador .. aca HASHTAG sintio fuerte .. paredes depa quedaron cuarteadas ! URL;2
MENTION claro utilicenlo;3
